Month,sales
2004-10,13
2004-11,0
2004-12,3
2005-01,0
2005-02,5
2005-03,5
2005-04,5
2005-05,2
2005-06,0
2005-07,10
2005-08,10
2005-09,15
2005-10,11
2005-11,4
2005-12,7
2006-01,10
2006-02,7
2006-03,6
2006-04,10
2006-05,3
2006-06,6
2006-07,5
2006-08,13
2006-09,7
2006-10,6
2006-11,4
2006-12,5
2007-01,5
2007-02,8
2007-03,10
2007-04,4
2007-05,6
2007-06,5
2007-07,9
2007-08,12
2007-09,8
2007-10,8
2007-11,7
2007-12,10
2008-01,9
2008-02,9
2008-03,11
2008-04,12
2008-05,9
2008-06,11
2008-07,11
2008-08,15
2008-09,11
2008-10,16
2008-11,13
2008-12,15
2009-01,10
2009-02,12
2009-03,19
2009-04,17
2009-05,20
2009-06,23
2009-07,26
2009-08,23
2009-09,33
2009-10,45
2009-11,22
2009-12,35
2010-01,39
2010-02,34
2010-03,42
2010-04,42
2010-05,55
2010-06,44
2010-07,42
2010-08,45
2010-09,47
2010-10,56
2010-11,54
2010-12,35
2011-01,48
2011-02,51
2011-03,48
2011-04,49
2011-05,39
2011-06,47
2011-07,48
2011-08,49
2011-09,55
2011-10,71
2011-11,43
2011-12,41
2012-01,42
2012-02,46
2012-03,48
2012-04,50
2012-05,52
2012-06,54
2012-07,51
2012-08,63
2012-09,58
2012-10,77
2012-11,71
2012-12,54
2013-01,60
2013-02,53
2013-03,53
2013-04,55
2013-05,55
2013-06,57
2013-07,55
2013-08,63
2013-09,64
2013-10,89
2013-11,62
2013-12,47
2014-01,48
2014-02,45
2014-03,50
2014-04,52
2014-05,52
2014-06,57
2014-07,53
2014-08,64
2014-09,68
2014-10,100
2014-11,53
2014-12,51
2015-01,59
2015-02,58
2015-03,55
2015-04,48
2015-05,45
2015-06,48
2015-07,50
2015-08,52
2015-09,53
2015-10,69
2015-11,67
2015-12,50
2016-01,49
2016-02,46
2016-03,50
2016-04,46
2016-05,45
2016-06,45
2016-07,45
2016-08,46
2016-09,45
2016-10,70
2016-11,36
2016-12,36
2017-01,39
2017-02,39
2017-03,40
2017-04,42
2017-05,42
2017-06,54
2017-07,44
2017-08,46
2017-09,65
2017-10,79
2017-11,47
2017-12,49
2018-01,50
2018-02,48
2018-03,52
2018-04,47
2018-05,38
2018-06,43
2018-07,47
2018-08,45
2018-09,39
2018-10,55
2018-11,48
2018-12,39
2019-01,45
2019-02,46
2019-03,43
2019-04,36
2019-05,36
2019-06,36
2019-07,39
2019-08,41
2019-09,52
2019-10,65
2019-11,41
2019-12,37
2020-01,39
