Month,sales
2004-01,19
2004-02,61
2004-03,25
2004-04,100
2004-05,69
2004-06,34
2004-07,35
2004-08,34
2004-09,30
2004-10,15
2004-11,75
2004-12,31
2005-01,24
2005-02,12
2005-03,54
2005-04,12
2005-05,21
2005-06,10
2005-07,10
2005-08,65
2005-09,0
2005-10,34
2005-11,42
2005-12,37
2006-01,36
2006-02,15
2006-03,40
2006-04,37
2006-05,26
2006-06,28
2006-07,34
2006-08,26
2006-09,37
2006-10,38
2006-11,27
2006-12,55
2007-01,24
2007-02,30
2007-03,13
2007-04,20
2007-05,45
2007-06,55
2007-07,21
2007-08,60
2007-09,29
2007-10,22
2007-11,38
2007-12,37
2008-01,36
2008-02,21
2008-03,31
2008-04,20
2008-05,14
2008-06,24
2008-07,41
2008-08,29
2008-09,29
2008-10,29
2008-11,40
2008-12,20
2009-01,31
2009-02,21
2009-03,21
2009-04,41
2009-05,43
2009-06,34
2009-07,36
2009-08,26
2009-09,25
2009-10,28
2009-11,47
2009-12,48
2010-01,24
2010-02,40
2010-03,44
2010-04,53
2010-05,33
2010-06,43
2010-07,42
2010-08,30
2010-09,47
2010-10,39
2010-11,46
2010-12,52
2011-01,39
2011-02,25
2011-03,40
2011-04,35
2011-05,39
2011-06,37
2011-07,49
2011-08,49
2011-09,46
2011-10,38
2011-11,53
2011-12,40
2012-01,49
2012-02,46
2012-03,42
2012-04,40
2012-05,37
2012-06,44
2012-07,37
2012-08,44
2012-09,42
2012-10,49
2012-11,52
2012-12,46
2013-01,37
2013-02,68
2013-03,49
2013-04,47
2013-05,47
2013-06,54
2013-07,43
2013-08,41
2013-09,52
2013-10,59
2013-11,53
2013-12,59
2014-01,49
2014-02,48
2014-03,44
2014-04,50
2014-05,52
2014-06,48
2014-07,61
2014-08,55
2014-09,56
2014-10,47
2014-11,51
2014-12,54
2015-01,46
2015-02,49
2015-03,45
2015-04,48
2015-05,56
2015-06,43
2015-07,35
2015-08,44
2015-09,32
2015-10,46
2015-11,48
2015-12,74
2016-01,54
2016-02,58
2016-03,54
2016-04,49
2016-05,52
2016-06,47
2016-07,38
2016-08,46
2016-09,50
2016-10,61
2016-11,48
2016-12,64
2017-01,44
2017-02,46
2017-03,45
2017-04,32
2017-05,50
2017-06,42
2017-07,34
2017-08,44
2017-09,45
2017-10,49
2017-11,53
2017-12,48
2018-01,41
2018-02,50
2018-03,37
2018-04,45
2018-05,49
2018-06,29
2018-07,44
2018-08,44
2018-09,48
2018-10,30
2018-11,63
2018-12,49
2019-01,55
2019-02,54
2019-03,50
2019-04,51
2019-05,36
2019-06,44
2019-07,50
2019-08,50
2019-09,42
2019-10,53
2019-11,38
2019-12,44
2020-01,42
